category,model,image_AUROC,pixel_AUROC,F1_Score,train_time_sec,inference_time_sec,inference_fps,peak_gpu_memory_mb,peak_cpu_memory_mb,num_test_images
bottle,patchcore,1.0,0.9856065511703491,0.9919999837875366,36.39818516373634,7.256493856199086,11.43803076868792,3286.32958984375,1994.6171875,83
bottle,fastflow,0.9841269850730896,0.8845888376235962,0.96875,9.042996309697628,6.314790681004524,13.143745247118277,2786.25146484375,2058.05078125,83
bottle,dinomaly,0.9992063641548157,0.9749330878257751,0.9921259880065918,48.745162316598,10.08402914274484,8.230836982429395,3355.3251953125,3526.28515625,83
bottle,vlmad,,,0.6238532066345215,0.008914969861507416,78.06899512279779,1.063162140993951,226.6796875,2581.8984375,83
bottle,winclip,0.9722222089767456,0.8447877168655396,0.3636363744735718,4.592879782430828,15.792367225512862,5.255703518970352,2052.6005859375,3182.640625,83
bottle,draem,0.9412698149681091,0.8240998387336731,0.9333333373069763,166.78731708042324,8.41329188644886,9.865341785382084,3690.37890625,3585.22265625,83
bottle,efficientad,0.9952380657196045,0.9584161043167114,0.9756097793579102,98.45187618583441,6.779560373164713,12.242681742098776,1202.08056640625,3256.84765625,83
cable,patchcore,0.9893178939819336,0.9850946068763733,0.9729729890823364,42.56304348818958,16.44371706712991,9.12202511072401,3494.12841796875,3256.40234375,150
cable,fastflow,0.725449800491333,0.7692506313323975,0.7724867463111877,12.771004686132073,14.688197592273355,10.212280918586409,2786.25146484375,3256.46484375,150
cable,dinomaly,0.946401834487915,0.9497110247612,0.8941176533699036,48.97171867080033,20.714468717575073,7.241315335919446,3355.3251953125,3813.96484375,150
cable,vlmad,,,0.5082873106002808,0.0085282102227211,182.22024570405483,0.8231796605280406,288.00439453125,3255.84765625,150
cable,winclip,0.7353823184967041,0.5613939762115479,0.7634408473968506,4.754789991304278,31.02041164599359,4.835525772894542,2052.6005859375,3376.28515625,150
cable,draem,0.4867878556251526,0.8337382078170776,0.7551867365837097,176.94193085562438,18.58229269552976,8.0722009096372,3690.37890625,3641.578125,150
cable,efficientad,0.828710675239563,0.9258078336715698,0.8191489577293396,124.25523187872022,15.488155491650105,9.684820124698982,1211.3505859375,3256.83203125,150
capsule,patchcore,0.9896290302276611,0.9900650978088379,0.9769585132598877,40.81222672201693,15.860040994361043,8.322803203783138,3425.33349609375,3256.45703125,132
capsule,fastflow,0.6290386915206909,0.9189133644104004,0.9059829115867615,11.531809594482183,14.752812665887177,8.94744636087074,2786.25146484375,3257.359375,132
