category,model,image_AUROC,pixel_AUROC,F1_Score,train_time_sec,inference_time_sec,inference_fps,peak_gpu_memory_mb,peak_cpu_memory_mb,num_test_images
bottle,patchcore,,,,,,,,,
cable,patchcore,,,,,,,,,
capsule,patchcore,,,,,,,,,
carpet,patchcore,,,,,,,,,
grid,patchcore,,,,,,,,,
hazelnut,patchcore,,,,,,,,,
leather,patchcore,,,,,,,,,
metal_nut,patchcore,,,,,,,,,
pill,patchcore,,,,,,,,,
screw,patchcore,,,,,,,,,
tile,patchcore,,,,,,,,,
toothbrush,patchcore,,,,,,,,,
transistor,patchcore,,,,,,,,,
wood,patchcore,,,,,,,,,
zipper,patchcore,,,,,,,,,
bottle,fastflow,0.9357143044471741,0.7527740001678467,0.8630136847496033,337.80499286949635,7.310443505644798,11.353620329041748,324.53173828125,4935.7734375,83
cable,fastflow,0.7571214437484741,0.796425461769104,0.7603305578231812,337.80499286949635,14.246268797665834,10.52907270881879,435.71875,2759.4921875,150
capsule,fastflow,0.6745113134384155,0.8985600471496582,0.9083333611488342,337.80499286949635,15.131814632564783,8.723342388554393,387.03662109375,2759.53125,132
carpet,fastflow,0.7841091752052307,0.9023850560188293,0.8640776872634888,337.80499286949635,8.64831791818142,13.528642344892303,357.12744140625,2759.75,117
grid,fastflow,0.7944862246513367,0.8515214920043945,0.834782600402832,337.80499286949635,5.69599623978138,13.693829264710637,317.3125,2759.76171875,78
hazelnut,fastflow,0.8432142734527588,0.9213473796844482,0.7865168452262878,337.80499286949635,11.599148087203503,9.483455092823153,334.23779296875,2759.74609375,110
leather,fastflow,0.924932062625885,0.9704368114471436,0.8638497591018677,337.80499286949635,9.903171081095934,12.521241830983046,369.33349609375,2759.1796875,124
metal_nut,fastflow,0.7375366687774658,0.8720722198486328,0.8942307829856873,337.80499286949635,8.495786596089602,13.536121546759617,360.77685546875,2759.1953125,115
pill,fastflow,0.7272230982780457,0.8473853468894958,0.9205297827720642,337.80499286949635,14.858374185860157,11.23945311317601,476.638671875,2758.80859375,167
screw,fastflow,0.5183439254760742,0.8286588191986084,0.8405796885490417,337.80499286949635,10.41817431524396,15.357777203428691,458.333984375,2759.51953125,160
tile,fastflow,0.9188311696052551,0.9239093065261841,0.8615384697914124,337.80499286949635,8.252168737351894,14.178091084156028,355.59423828125,2758.1171875,117
toothbrush,fastflow,0.75,0.9009709358215332,0.8333333134651184,337.80499286949635,4.815680872648954,8.72150815444237,317.3125,2759.07421875,42
transistor,fastflow,0.6920833587646484,0.7827107906341553,0.6000000238418579,337.80499286949635,10.774064864963293,9.28154798150463,317.3125,2759.1015625,100
wood,fastflow,0.9271929264068604,0.8745681643486023,0.8695651888847351,337.80499286949635,8.40235948562622,9.402120932238619,317.3125,2759.09375,79
zipper,fastflow,0.8518908023834229,0.8429611921310425,0.8939393758773804,337.80499286949635,9.49664380773902,15.900354173223477,437.68896484375,2759.1171875,151
bottle,dinomaly,,,,,,,,,
cable,dinomaly,,,,,,,,,
capsule,dinomaly,,,,,,,,,
carpet,dinomaly,,,,,,,,,
grid,dinomaly,,,,,,,,,
hazelnut,dinomaly,,,,,,,,,
leather,dinomaly,,,,,,,,,
metal_nut,dinomaly,,,,,,,,,
pill,dinomaly,,,,,,,,,
screw,dinomaly,,,,,,,,,
tile,dinomaly,,,,,,,,,
toothbrush,dinomaly,,,,,,,,,
transistor,dinomaly,,,,,,,,,
wood,dinomaly,,,,,,,,,
zipper,dinomaly,,,,,,,,,
bottle,draem,0.5,0.4517880082130432,0.8630136847496033,1491.2854480296373,7.441401973366737,11.15381218445965,1852.36328125,4670.82421875,83
cable,draem,0.5,0.4104970693588257,0.7603305578231812,1491.2854480296373,15.246120400726795,9.838568505129304,774.9599609375,4591.6171875,150
capsule,draem,0.31990426778793335,0.791092038154602,0.9045643210411072,1491.2854480296373,15.849847786128521,8.328155688379786,725.201171875,4589.875,132
carpet,draem,0.5,0.35600554943084717,0.8640776872634888,1491.2854480296373,9.456323344260454,12.372673367923012,720.32421875,4591.0390625,117
grid,draem,0.6190476417541504,0.5005364418029785,0.8444444537162781,1491.2854480296373,6.533128455281258,11.939149908639294,720.32421875,4591.234375,78
hazelnut,draem,0.6539285778999329,0.8680081963539124,0.7777777910232544,1491.2854480296373,12.334680076688528,8.917945120270321,720.32421875,4590.859375,110
leather,draem,0.5439878106117249,0.5471848249435425,0.8518518805503845,1491.2854480296373,10.921069223433733,11.354199617554729,720.32421875,4588.91796875,124
