category,model,image_AUROC,pixel_AUROC,F1_Score,train_time_sec,inference_time_sec,inference_fps,peak_gpu_memory_mb,peak_cpu_memory_mb,num_test_images
bottle,fastflow,0.970634937286377,0.8407121300697327,0.9312977194786072,126.21855330094695,6.774084318429232,12.252578518131873,313.6865234375,2225.453125,83
cable,fastflow,0.7468140721321106,0.8790514469146729,0.7599999904632568,126.21855330094695,13.952474985271692,10.7507807868024,436.41015625,2226.46484375,150
capsule,fastflow,0.7313522100448608,0.9381232261657715,0.8715596199035645,126.21855330094695,14.80098694562912,8.91832419587269,389.23486328125,2226.50390625,132
leather,fastflow,0.996942937374115,0.9934871792793274,0.9533678889274597,126.21855330094695,9.914132665842772,12.50739768968576,369.85986328125,2226.50390625,124
wood,fastflow,0.974561333656311,0.9275752305984497,0.9375,126.21855330094695,8.474798813462257,9.321755210814931,317.3125,2226.515625,79
bottle,draem,0.5,0.30330684781074524,0.8630136847496033,520.9430332891643,7.034601505845785,11.798820435105903,1852.86328125,3473.50390625,83
cable,draem,0.5,0.5258747339248657,0.7603305578231812,520.9430332891643,14.837971944361925,10.109198249090666,774.9599609375,3475.4609375,150
capsule,draem,0.6868767142295837,0.5509613156318665,0.9045643210411072,520.9430332891643,15.488970655947924,8.522193174232056,725.201171875,3477.09765625,132
leather,draem,0.8447690010070801,0.7168347239494324,0.8518518805503845,520.9430332891643,10.344123549759388,11.987482497043873,720.32421875,3471.71484375,124
wood,draem,0.9377192854881287,0.7751625180244446,0.9333333373069763,520.9430332891643,8.672995679080486,9.10873277506067,720.32421875,3471.92578125,79
bottle,patchcore,1.0,0.9853325486183167,1.0,932.1376547962427,8.929156608879566,9.295390778280332,16374.48779296875,3619.55859375,83
cable,patchcore,0.9930659532546997,0.9834160804748535,0.7603305578231812,932.1376547962427,16.879118841141462,8.886719822979583,15593.0673828125,3622.65234375,150
capsule,patchcore,0.9968089461326599,0.9901716113090515,0.9813084006309509,932.1376547962427,17.22234793752432,7.664460181552618,15593.0673828125,3622.8984375,132
leather,patchcore,1.0,0.9922877550125122,1.0,932.1376547962427,12.707814425230026,9.757775479771807,15593.0673828125,3622.546875,124
wood,patchcore,0.9868420958518982,0.931930661201477,0.8759124279022217,932.1376547962427,10.433947961777449,7.571438949992823,15593.0673828125,3622.125,79
AVERAGE,ALL,0.857759165763855,0.8222818672657013,0.8922913591066997,526.433080462118,11.764501789212227,9.89686991629453,5691.128938802083,3107.395052083333,
