category,model,image_AUROC,pixel_AUROC,F1_Score,train_time_sec,inference_time_sec,inference_fps,peak_gpu_memory_mb,peak_cpu_memory_mb,num_test_images
bottle,fastflow,0.946825385093689,0.7780029773712158,0.930232584476471,219.0017087869346,6.8729799799621105,12.0762755372463,313.6865234375,2370.1953125,83 
cable,fastflow,0.7730509638786316,0.8111311197280884,0.7666666507720947,219.0017087869346,14.082498725503683,10.651518805277577,433.1552734375,2370.87890625,150 
capsule,fastflow,0.7335460782051086,0.8936835527420044,0.9045643210411072,219.0017087869346,14.994566194713116,8.803188987657505,386.08056640625,2370.55078125,132 
hazelnut,fastflow,0.8399999737739563,0.8982365727424622,0.7777777910232544,219.0017087869346,11.360345672816038,9.682803954039619,334.50732421875,2368.5390625,110 
metal_nut,fastflow,0.8049852848052979,0.8597800731658936,0.8975609540939331,219.0017087869346,8.555931366980076,13.440968033453347,356.3251953125,2369.80859375,115 
pill,fastflow,0.7408619523048401,0.8143032789230347,0.9185667634010315,219.0017087869346,14.781726751476526,11.297732856773218,475.259765625,2370.8125,167 
screw,fastflow,0.5394548177719116,0.7001282572746277,0.8498168587684631,219.0017087869346,10.394544918090105,15.392689267381455,456.1767578125,2370.1875,160 
toothbrush,fastflow,0.75,0.9142482876777649,0.8333333134651184,219.0017087869346,4.808766778558493,8.734048028128782,317.3125,2370.3359375,42 
transistor,fastflow,0.5525000095367432,0.7379759550094604,0.5853658318519592,219.0017087869346,10.631479367613792,9.406028694804752,317.3125,2370.42578125,100 
zipper,fastflow,0.8038340210914612,0.8365234732627869,0.8949416279792786,219.0017087869346,9.375907633453608,16.105107463007215,433.25439453125,2370.44921875,151 
bottle,draem,0.5,0.6413986682891846,0.8630136847496033,938.4644996188581,7.178586032241583,11.562165533326128,1847.73828125,3494.11328125,83 
cable,draem,0.5,0.6129179000854492,0.7603305578231812,938.4644996188581,14.923610001802444,10.05118734554731,774.9599609375,3495.08984375,150 
capsule,draem,0.3167131841182709,0.8451296091079712,0.8999999761581421,938.4644996188581,15.665291279554367,8.426271662901057,725.201171875,3493.765625,132 
hazelnut,draem,0.6971428394317627,0.8436739444732666,0.7777777910232544,938.4644996188581,12.179880734533072,9.031287119924082,720.32421875,3493.1875,110 
metal_nut,draem,0.5,0.6874749064445496,0.8942307829856873,938.4644996188581,9.80772190541029,11.725454810924226,720.32421875,3494.578125,115
pill,draem,0.5,0.5561962127685547,0.9155844449996948,938.4644996188581,15.979161143302917,10.451111826354662,818.58154296875,3493.546875,167 
screw,draem,0.6377331018447876,0.9599969387054443,0.8530465960502625,938.4644996188581,11.920240424573421,13.422548061208738,799.71484375,3494.9375,160 
toothbrush,draem,0.5,0.53614342212677,0.8333333134651184,938.4644996188581,4.921600475907326,8.533809317843309,720.32421875,3493.09765625,42 
transistor,draem,0.4749999940395355,0.6261070966720581,0.5714285969734192,938.4644996188581,11.204520381987095,8.924969261581658,720.32421875,3493.4453125,100 
zipper,draem,0.6436449289321899,0.7507803440093994,0.8814814686775208,938.4644996188581,10.643308993428946,14.187317129778496,776.24072265625,3492.734375,151 
bottle,patchcore,1.0,0.9851760268211365,1.0,3974.792599029839,10.708791315555573,7.75064127726855,33441.7685546875,4101.6875,83 
cable,patchcore,0.9861319661140442,0.9833422303199768,0.7603305578231812,3974.792599029839,19.62659952789545,7.642689187538766,31929.14697265625,4102.29296875,150 
capsule,patchcore,0.9948145151138306,0.9901065230369568,0.9668246507644653,3974.792599029839,19.545929420739412,6.753324293698719,31929.14697265625,4102.3046875,132 
hazelnut,patchcore,1.0,0.9883280992507935,0.7777777910232544,3974.792599029839,15.421586196869612,7.132859006574085,31929.14697265625,4103.3125,110 
metal_nut,patchcore,0.9980449676513672,0.9863818883895874,0.8942307829856873,3974.792599029839,12.785867672413588,8.994305505610747,31929.14697265625,4104.92578125,115 
pill,patchcore,0.9427168369293213,0.9822040796279907,0.930232584476471,3974.792599029839,20.122504137456417,8.2991658920394,31929.14697265625,4103.24609375,167 
screw,patchcore,0.962902307510376,0.9896025657653809,0.9508196711540222,3974.792599029839,15.625501960515976,10.239671045724062,31929.14697265625,4103.9375,160 
toothbrush,patchcore,0.9111111164093018,0.9888116717338562,0.89552241563797,3974.792599029839,6.875899367034435,6.108291840535551,31929.14697265625,4103.17578125,42 
transistor,patchcore,0.9954166412353516,0.9715029001235962,0.6153846383094788,3974.792599029839,14.535396758466959,6.879757165331547,31929.14697265625,4104.15234375,100 
zipper,patchcore,0.9792541861534119,0.9809521436691284,0.9833333492279053,3974.792599029839,14.547496415674686,10.379792899436634,31929.14697265625,4104.34765625,151 
AVERAGE,ALL,0.7508561690648397,0.838341357310613,0.8461170117060344,1710.7529358118773,12.33594138448437,10.069566060363917,11108.36318359375,3322.46875,
