category,model,image_AUROC,pixel_AUROC,F1_Score,train_time_sec,inference_time_sec,inference_fps,peak_gpu_memory_mb,peak_cpu_memory_mb,num_test_images
carpet,fastflow,0.9775280356407166,0.9803224802017212,0.9450549483299255,113.60078950971365,9.37352778762579,12.481960116921444,375.01123046875,2124.73046875,117
grid,fastflow,0.8137009143829346,0.8618128895759583,0.5925925970077515,113.60078950971365,5.488415256142616,14.211752638924807,317.3125,2125.3984375,78
leather,fastflow,1.0,0.9941187500953674,0.9839572310447693,113.60078950971365,9.78817130252719,12.668352051417886,370.85888671875,2125.41796875,124
tile,fastflow,0.9595959782600403,0.9079430103302002,0.9333333373069763,113.60078950971365,8.077515218406916,14.484652375941332,358.30322265625,2124.45703125,117
wood,fastflow,0.9859648942947388,0.9373528361320496,0.9523809552192688,113.60078950971365,8.270351570099592,9.552193680086647,317.3125,2124.4375,79
carpet,draem,0.29093098640441895,0.6211592555046082,0.8640776872634888,522.4100099876523,9.923803240060806,11.789834720592777,1847.73828125,3476.69921875,117
grid,draem,0.4912280738353729,0.5625499486923218,0.8444444537162781,522.4100099876523,6.240207981318235,12.499583384642671,720.32421875,3475.41015625,78
leather,draem,0.8668478727340698,0.6534526944160461,0.866310179233551,522.4100099876523,10.235005639493465,12.115283993740604,720.32421875,3474.8828125,124
tile,draem,0.494047611951828,0.6991052627563477,0.8358209133148193,522.4100099876523,8.879776298999786,13.17600759978366,720.32421875,3474.37109375,117
wood,draem,0.49166667461395264,0.591603696346283,0.8633093237876892,522.4100099876523,9.034063395112753,8.74468072060878,720.32421875,3475.671875,79
carpet,patchcore,0.9863563179969788,0.9907127022743225,0.9772727489471436,1124.8135541118681,12.26000439748168,9.543226593298197,18081.6875,3686.79296875,117
grid,patchcore,0.9874687194824219,0.9833334684371948,0.954954981803894,1124.8135541118681,7.347669795155525,10.615610414532654,17227.46826171875,3686.9140625,78
leather,patchcore,1.0,0.9922580718994141,1.0,1124.8135541118681,12.82988204807043,9.664936866559048,17227.46826171875,3687.3125,124
tile,patchcore,1.0,0.9550862312316895,0.9882352948188782,1124.8135541118681,10.403545811772346,11.246165693585569,17227.46826171875,3685.83984375,117
wood,patchcore,0.9850877523422241,0.9309804439544678,0.9375,1124.8135541118681,10.440181080251932,7.566918561348713,17227.46826171875,3686.24609375,79
AVERAGE,ALL,0.8220282554626465,0.8441194494565328,0.902616310119629,586.941451203078,9.23947472150127,11.357410627465653,6230.62626953125,3095.6388020833333,
