experiment,model,image_AUROC,pixel_AUROC,F1_Score,train_time_sec,inference_fps,peak_gpu_memory_mb
allclasses,draem,0.5396640777587891,0.6411525130271911,0.8340508977572123,1491.285448029637,10.79562723305876,815.3319661458333
allclasses,fastflow,0.7891460498174031,0.8644458015759786,0.8396414081255595,337.80499286949635,11.830011876583567,371.0845703125
allclasses,patchcore,,,,,,
baseline,draem,0.7194901665051778,0.8308769106864929,0.8619399706522624,189.9511685318624,8.88372233504865,3690.35546875
baseline,fastflow,0.8207995494206747,0.8847801923751831,0.8818898955980937,10.94008611322691,11.466294568884534,2786.2473307291666
baseline,patchcore,0.9820016980171203,0.9800684690475464,0.974099047978719,56.27956626415253,10.080132022301445,3745.5583658854166
objects,draem,0.5270234048366547,0.7059819042682648,0.8250227212905884,938.4644996188579,10.631612206938966,862.37333984375
objects,fastflow,0.748505848646164,0.8244013547897339,0.8358826696872711,219.0017087869346,11.559036162776977,382.307080078125
objects,patchcore,0.9770392537117004,0.9846408128738403,0.8774456441402435,3974.792599029839,8.018049811375807,32080.409130859374
textures,draem,0.5269442439079285,0.6255741715431213,0.8547925114631653,522.4100099876523,11.665078083873698,945.80703125
textures,fastflow,0.947357964515686,0.9363099932670593,0.8814638137817383,113.60078950971362,12.679782172658424,347.75966796875
textures,patchcore,0.9917825579643249,0.9704741835594177,0.9715926051139832,1124.813554111868,9.727371625864835,17398.312109375
